"Area","MTU","Biomass  - Actual Aggregated [MW]","Biomass  - Actual Consumption [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Consumption [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Consumption [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Consumption [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Consumption [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil  - Actual Consumption [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Consumption [MW]","Fossil Peat  - Actual Aggregated [MW]","Fossil Peat  - Actual Consumption [MW]","Geothermal  - Actual Aggregated [MW]","Geothermal  - Actual Consumption [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Run-of-river and poundage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Consumption [MW]","Marine  - Actual Aggregated [MW]","Marine  - Actual Consumption [MW]","Nuclear  - Actual Aggregated [MW]","Nuclear  - Actual Consumption [MW]","Other  - Actual Aggregated [MW]","Other  - Actual Consumption [MW]","Other renewable  - Actual Aggregated [MW]","Other renewable  - Actual Consumption [MW]","Solar  - Actual Aggregated [MW]","Solar  - Actual Consumption [MW]","Waste  - Actual Aggregated [MW]","Waste  - Actual Consumption [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Offshore  - Actual Consumption [MW]","Wind Onshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Consumption [MW]"
"Germany (DE)","01.01.2016 11:00 - 01.01.2016 11:15 (CET)","4537","0","14944","0","554","0","1255","0","5340","0","199","5","n/e","n/e","n/e","n/e","11","0","359","1145","993","0","43","0","n/e","n/e","10137","0","2655","0","95","0","3468","0","265","0","175","","1923","0"
"Germany (DE)","01.01.2016 11:15 - 01.01.2016 11:30 (CET)","4540","0","14964","0","541","0","1263","0","5390","0","198","5","n/e","n/e","n/e","n/e","11","0","436","956","994","0","43","0","n/e","n/e","10149","0","2919","0","95","0","3697","0","272","0","174","","1749","0"
"Germany (DE)","01.01.2016 11:30 - 01.01.2016 11:45 (CET)","4539","0","14988","0","559","0","1260","0","5457","0","198","5","n/e","n/e","n/e","n/e","11","0","296","642","995","0","34","0","n/e","n/e","10234","0","2928","0","95","0","3859","0","279","0","182","","1568","0"
"Germany (DE)","01.01.2016 11:45 - 01.01.2016 12:00 (CET)","4536","0","14977","0","565","0","1250","0","5587","0","198","5","n/e","n/e","n/e","n/e","11","0","181","566","992","0","57","0","n/e","n/e","10254","0","3051","0","95","0","4046","0","288","0","166","","1385","0"
"Germany (DE)","01.01.2016 12:00 - 01.01.2016 12:15 (CET)","4539","0","14999","0","562","0","1244","0","5700","0","198","5","n/e","n/e","n/e","n/e","11","0","412","492","994","0","49","0","n/e","n/e","10350","0","2910","0","95","0","4123","0","287","0","154","","1291","0"
"Germany (DE)","01.01.2016 12:15 - 01.01.2016 12:30 (CET)","4549","0","15046","0","564","0","1240","0","5745","0","198","5","n/e","n/e","n/e","n/e","11","0","683","696","991","0","31","0","n/e","n/e","10390","0","2898","0","95","0","4141","0","279","0","140","","1216","0"
"Germany (DE)","01.01.2016 12:30 - 01.01.2016 12:45 (CET)","4552","0","15184","0","558","0","1248","0","5763","0","198","5","n/e","n/e","n/e","n/e","11","0","855","841","992","0","17","0","n/e","n/e","10458","0","2867","0","95","0","4085","0","279","0","130","","1112","0"
"Germany (DE)","01.01.2016 12:45 - 01.01.2016 13:00 (CET)","4550","0","15168","0","556","0","1238","0","5783","0","198","5","n/e","n/e","n/e","n/e","11","0","531","532","995","0","10","0","n/e","n/e","10506","0","2653","0","95","0","4135","0","272","0","107","","1000","0"
"Germany (DE)","01.01.2016 13:00 - 01.01.2016 13:15 (CET)","4548","0","15168","0","559","0","1238","0","5925","0","199","5","n/e","n/e","n/e","n/e","11","0","400","385","1002","0","9","0","n/e","n/e","10478","0","2152","0","95","0","3978","0","278","0","83","","885","0"
"Germany (DE)","01.01.2016 13:15 - 01.01.2016 13:30 (CET)","4547","0","15157","0","565","0","1237","0","5850","0","199","5","n/e","n/e","n/e","n/e","11","0","127","480","1004","0","46","0","n/e","n/e","10507","0","2138","0","95","0","3881","0","272","0","89","","746","0"
"Germany (DE)","01.01.2016 13:30 - 01.01.2016 13:45 (CET)","4543","0","15176","0","563","0","1248","0","5769","0","198","5","n/e","n/e","n/e","n/e","11","0","164","459","1005","0","74","0","n/e","n/e","10564","0","2226","0","95","0","3637","0","273","0","85","","628","0"
"Germany (DE)","01.01.2016 13:45 - 01.01.2016 14:00 (CET)","4540","0","15218","0","571","0","1243","0","5791","0","198","5","n/e","n/e","n/e","n/e","11","0","467","687","1008","0","62","0","n/e","n/e","10602","0","2356","0","95","0","3372","0","269","0","77","","565","0"
"Germany (DE)","01.01.2016 14:00 - 01.01.2016 14:15 (CET)","4522","0","15253","0","571","0","1234","0","5744","0","199","5","n/e","n/e","n/e","n/e","11","0","285","650","1020","0","28","0","n/e","n/e","10670","0","2674","0","95","0","3037","0","269","0","69","","525","0"
"Germany (DE)","01.01.2016 14:15 - 01.01.2016 14:30 (CET)","4520","0","15379","0","569","0","1244","0","5714","0","200","5","n/e","n/e","n/e","n/e","11","0","445","595","1023","0","64","0","n/e","n/e","10693","0","2731","0","95","0","2629","0","269","0","59","","453","0"
"Germany (DE)","01.01.2016 14:30 - 01.01.2016 14:45 (CET)","4529","0","15443","0","574","0","1252","0","5754","0","199","5","n/e","n/e","n/e","n/e","11","0","414","0","1027","0","45","0","n/e","n/e","10705","0","2525","0","95","0","2248","0","269","0","41","","416","0"
"Germany (DE)","01.01.2016 14:45 - 01.01.2016 15:00 (CET)","4521","0","15437","0","579","0","1237","0","5817","0","198","5","n/e","n/e","n/e","n/e","11","0","734","0","1024","0","73","0","n/e","n/e","10664","0","2348","0","95","0","1854","0","263","0","25","","394","0"
"Germany (DE)","01.01.2016 15:00 - 01.01.2016 15:15 (CET)","4526","0","15422","0","580","0","1223","0","5823","0","198","5","n/e","n/e","n/e","n/e","11","0","667","0","1034","0","17","0","n/e","n/e","10676","0","2141","0","95","0","1407","0","269","0","15","","378","0"
"Germany (DE)","01.01.2016 15:15 - 01.01.2016 15:30 (CET)","4527","0","15421","0","572","0","1217","0","5804","0","198","5","n/e","n/e","n/e","n/e","11","0","563","0","1039","0","20","0","n/e","n/e","10674","0","2192","0","95","0","983","0","269","0","5","","381","0"
"Germany (DE)","01.01.2016 15:30 - 01.01.2016 15:45 (CET)","4526","0","15422","0","572","0","1223","0","5807","0","198","5","n/e","n/e","n/e","n/e","11","0","1424","0","1041","0","49","0","n/e","n/e","10678","0","2295","0","95","0","632","0","266","0","4","","401","0"
"Germany (DE)","01.01.2016 15:45 - 01.01.2016 16:00 (CET)","4530","0","15435","0","575","0","1210","0","5822","0","198","5","n/e","n/e","n/e","n/e","11","0","1642","0","1046","0","93","0","n/e","n/e","10687","0","2373","0","95","0","341","0","265","0","2","","432","0"
"Germany (DE)","01.01.2016 16:00 - 01.01.2016 16:15 (CET)","4518","0","15436","0","572","0","1219","0","5803","0","199","5","n/e","n/e","n/e","n/e","11","0","491","107","1032","0","22","0","n/e","n/e","10681","0","2405","0","95","0","136","0","264","0","2","","489","0"
"Germany (DE)","01.01.2016 16:15 - 01.01.2016 16:30 (CET)","4509","0","15446","0","569","0","1224","0","5978","0","200","5","n/e","n/e","n/e","n/e","11","0","1646","0","1038","0","25","0","n/e","n/e","10685","0","2504","0","95","0","41","0","269","0","2","","577","0"
"Germany (DE)","01.01.2016 16:30 - 01.01.2016 16:45 (CET)","4509","0","15470","0","566","0","1233","0","6246","0","200","5","n/e","n/e","n/e","n/e","11","0","1302","0","1035","0","54","0","n/e","n/e","10686","0","2704","0","95","0","18","0","267","0","2","","713","0"
"Germany (DE)","01.01.2016 16:45 - 01.01.2016 17:00 (CET)","4512","0","15468","0","564","0","1230","0","6562","0","199","5","n/e","n/e","n/e","n/e","11","0","1721","1","1033","0","49","0","n/e","n/e","10693","0","2944","0","95","0","7","0","267","0","2","","872","0"
"Germany (DE)","01.01.2016 17:00 - 01.01.2016 17:15 (CET)","4527","0","15411","0","566","0","1228","0","6757","0","198","5","n/e","n/e","n/e","n/e","11","0","1388","118","1029","0","31","0","n/e","n/e","10559","0","3131","0","95","0","0","0","265","0","2","","997","0"
"Germany (DE)","01.01.2016 17:15 - 01.01.2016 17:30 (CET)","4535","0","15476","0","574","0","1227","0","6797","0","199","5","n/e","n/e","n/e","n/e","11","0","3231","0","1027","0","40","0","n/e","n/e","10555","0","3237","0","95","0","0","0","269","0","2","","1168","0"
"Germany (DE)","01.01.2016 17:30 - 01.01.2016 17:45 (CET)","4534","0","15468","0","572","0","1243","0","6809","0","198","5","n/e","n/e","n/e","n/e","11","0","3582","0","1024","0","30","0","n/e","n/e","10559","0","3289","0","95","0","0","0","264","0","3","","1404","0"
"Germany (DE)","01.01.2016 17:45 - 01.01.2016 18:00 (CET)","4532","0","15464","0","566","0","1255","0","6978","0","199","5","n/e","n/e","n/e","n/e","11","0","3263","0","1026","0","24","0","n/e","n/e","10636","0","3286","0","95","0","0","0","265","0","13","","1605","0"
"Germany (DE)","01.01.2016 18:00 - 01.01.2016 18:15 (CET)","4529","0","15430","0","573","0","1257","0","7007","0","199","5","n/e","n/e","n/e","n/e","11","0","2314","0","1027","0","15","0","n/e","n/e","10658","0","3436","0","95","0","0","0","262","0","48","","1788","0"
"Germany (DE)","01.01.2016 18:15 - 01.01.2016 18:30 (CET)","4510","0","15459","0","570","0","1244","0","7014","0","199","5","n/e","n/e","n/e","n/e","11","0","1967","0","1023","0","47","0","n/e","n/e","10676","0","3235","0","95","0","0","0","269","0","80","","1963","0"
"Germany (DE)","01.01.2016 18:30 - 01.01.2016 18:45 (CET)","4497","0","15447","0","570","0","1258","0","7027","0","199","5","n/e","n/e","n/e","n/e","11","0","407","120","1019","0","20","0","n/e","n/e","10679","0","3276","0","95","0","0","0","264","0","107","","2107","0"
"Germany (DE)","01.01.2016 18:45 - 01.01.2016 19:00 (CET)","4518","0","15415","0","566","0","1254","0","7035","0","199","5","n/e","n/e","n/e","n/e","11","0","260","301","1019","0","17","0","n/e","n/e","10639","0","3196","0","95","0","0","0","274","0","141","","2352","0"
"Germany (DE)","01.01.2016 19:00 - 01.01.2016 19:15 (CET)","4522","0","15453","0","560","0","1259","0","7000","0","199","5","n/e","n/e","n/e","n/e","11","0","2024","0","1021","0","28","0","n/e","n/e","10666","0","3146","0","95","0","0","0","276","0","180","","2671","0"
"Germany (DE)","01.01.2016 19:15 - 01.01.2016 19:30 (CET)","4536","0","15454","0","562","0","1252","0","6889","0","199","5","n/e","n/e","n/e","n/e","11","0","321","255","1022","0","24","0","n/e","n/e","10664","0","2996","0","95","0","0","0","274","0","237","","2940","0"
"Germany (DE)","01.01.2016 19:30 - 01.01.2016 19:45 (CET)","4539","0","15457","0","558","0","1254","0","6780","0","199","5","n/e","n/e","n/e","n/e","11","0","1368","268","1009","0","7","0","n/e","n/e","10601","0","2639","0","95","0","0","0","261","0","290","","3303","0"
"Germany (DE)","01.01.2016 19:45 - 01.01.2016 20:00 (CET)","4537","0","15500","0","556","0","1253","0","6582","0","199","5","n/e","n/e","n/e","n/e","11","0","160","364","970","0","19","0","n/e","n/e","10527","0","2404","0","95","0","0","0","266","0","358","","3507","0"
"Germany (DE)","01.01.2016 20:00 - 01.01.2016 20:15 (CET)","4540","0","15486","0","556","0","1249","0","6357","0","199","5","n/e","n/e","n/e","n/e","11","0","982","0","968","0","74","0","n/e","n/e","10556","0","2641","0","95","0","0","0","267","0","447","","3666","0"
"Germany (DE)","01.01.2016 20:15 - 01.01.2016 20:30 (CET)","4543","0","15490","0","556","0","1254","0","6162","0","199","5","n/e","n/e","n/e","n/e","11","0","1825","98","970","0","14","0","n/e","n/e","10533","0","2567","0","95","0","0","0","271","0","578","","3712","0"
"Germany (DE)","01.01.2016 20:30 - 01.01.2016 20:45 (CET)","4541","0","15487","0","557","0","1252","0","5971","0","199","6","n/e","n/e","n/e","n/e","11","0","1671","445","970","0","25","0","n/e","n/e","10571","0","2359","0","95","0","0","0","270","0","684","","3773","0"
"Germany (DE)","01.01.2016 20:45 - 01.01.2016 21:00 (CET)","4541","0","15462","0","555","0","1242","0","5845","0","199","6","n/e","n/e","n/e","n/e","11","0","1556","578","969","0","5","0","n/e","n/e","10592","0","2184","0","95","0","0","0","270","0","734","","3937","0"
"Germany (DE)","01.01.2016 21:00 - 01.01.2016 21:15 (CET)","4540","0","15466","0","555","0","1244","0","5582","0","200","6","n/e","n/e","n/e","n/e","11","0","421","0","969","0","43","0","n/e","n/e","10681","0","2027","0","95","0","0","0","275","0","815","","4172","0"
"Germany (DE)","01.01.2016 21:15 - 01.01.2016 21:30 (CET)","4541","0","15383","0","574","0","1222","0","5217","0","200","6","n/e","n/e","n/e","n/e","11","0","169","191","971","0","19","0","n/e","n/e","10675","0","2256","0","95","0","0","0","278","0","873","","4408","0"
"Germany (DE)","01.01.2016 21:30 - 01.01.2016 21:45 (CET)","4548","0","15330","0","566","0","1205","0","4958","0","199","6","n/e","n/e","n/e","n/e","11","0","1419","380","972","0","16","0","n/e","n/e","10656","0","2104","0","95","0","0","0","273","0","917","","4652","0"
"Germany (DE)","01.01.2016 21:45 - 01.01.2016 22:00 (CET)","4547","0","15363","0","565","0","1189","0","4966","0","199","6","n/e","n/e","n/e","n/e","11","0","154","632","975","0","7","0","n/e","n/e","10606","0","2211","0","95","0","0","0","276","0","1024","","4774","0"
"Germany (DE)","01.01.2016 22:00 - 01.01.2016 22:15 (CET)","4539","0","15387","0","560","0","1192","0","4965","0","199","6","n/e","n/e","n/e","n/e","11","0","1628","0","975","0","69","0","n/e","n/e","10680","0","2275","0","95","0","0","0","279","0","1132","","4807","0"
"Germany (DE)","01.01.2016 22:15 - 01.01.2016 22:30 (CET)","4536","0","15306","0","558","0","1189","0","4860","0","199","6","n/e","n/e","n/e","n/e","11","0","25","58","974","0","83","0","n/e","n/e","10673","0","2350","0","95","0","0","0","274","0","1162","","4937","0"
"Germany (DE)","01.01.2016 22:30 - 01.01.2016 22:45 (CET)","4531","0","15255","0","561","0","1190","0","4674","0","199","6","n/e","n/e","n/e","n/e","11","0","21","587","972","0","55","0","n/e","n/e","10672","0","2324","0","95","0","0","0","269","0","1163","","5073","0"
"Germany (DE)","01.01.2016 22:45 - 01.01.2016 23:00 (CET)","4514","0","15071","0","559","0","1189","0","4467","0","199","6","n/e","n/e","n/e","n/e","11","0","18","1041","970","0","43","0","n/e","n/e","10614","0","2441","0","95","0","0","0","269","0","1306","","5141","0"
"Germany (DE)","01.01.2016 23:00 - 01.01.2016 23:15 (CET)","4516","0","14925","0","556","0","1184","0","4119","0","198","6","n/e","n/e","n/e","n/e","11","0","854","0","972","0","135","0","n/e","n/e","10656","0","2316","0","95","0","0","0","269","0","1391","","5318","0"
"Germany (DE)","01.01.2016 23:15 - 01.01.2016 23:30 (CET)","4515","0","14885","0","558","0","1184","0","4057","0","199","6","n/e","n/e","n/e","n/e","11","0","384","0","971","0","71","0","n/e","n/e","10645","0","2238","0","95","0","0","0","269","0","1438","","5492","0"
"Germany (DE)","01.01.2016 23:30 - 01.01.2016 23:45 (CET)","4520","0","14858","0","563","0","1188","0","3925","0","199","6","n/e","n/e","n/e","n/e","11","0","611","604","975","0","40","0","n/e","n/e","10634","0","2183","0","95","0","0","0","273","0","1500","","5626","0"
"Germany (DE)","01.01.2016 23:45 - 02.01.2016 00:00 (CET)","4536","0","14847","0","568","0","1168","0","3768","0","199","6","n/e","n/e","n/e","n/e","11","0","526","1476","975","0","67","0","n/e","n/e","10628","0","2405","0","95","0","0","0","276","0","1476","","5591","0"
